main(50, 0.9, 0.4)
1: Viorest: 0.005532, aptitud: 1000.00000000000000000000, vector: 0.31168929789870192000  0.24929431848613159000  0.46260778659641155000  0.39468076826108650000-25.41462478700985600000
2: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
3: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
4: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
5: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
6: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
7: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
8: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
9: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
10: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
11: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
12: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
13: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
14: Viorest: 0.00017469, aptitud: 1000.00000000000000000000, vector: 0.07958362022204849800  0.05732731835322638100  0.34580069853427819000  0.32336970594695436000-39.78444763949443800000
